id,ident,type,name,elevation_ft,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
283,04MN,small_airport,Helblad Airport,1195,US,US-MN,Kelliher,04MN,0,04MN,"-94.68689727783203, 47.985801696777344"
284,04MO,small_airport,Airpark Private Airport,767,US,US-MO,Vandalia,04MO,0,04MO,"-91.45149993896484, 39.30120086669922"
285,04MS,small_airport,Nick's Flying Service Inc Airport,100,US,US-MS,Rolling Fork,04MS,0,04MS,"-90.8373031616, 32.939601898199996"
286,04MT,small_airport,Pluhar Airport,2715,US,US-MT,Cohagen,04MT,0,04MT,"-106.488095, 47.13749777779999"
287,04NC,heliport,Western Wake Medical Center Heliport,445,US,US-NC,Cary,04NC,0,04NC,"-78.7822036743, 35.739200592"
288,04NE,small_airport,Mc Connell Field Airport,3035,US,US-NE,Sarben,04NE,0,04NE,"-101.299003601, 41.159999847399995"
289,04NJ,small_airport,Emmanuel Airport,155,US,US-NJ,Elmer,04NJ,0,04NJ,"-75.2334976196, 39.596801757799994"
290,04NV,small_airport,Kingston Ranch Airport,2620,US,US-NV,Sandy Valley,04NV,0,04NV,"-115.665000916, 35.7555007935"
291,04NY,small_airport,Klaverack Airport,250,US,US-NY,Hudson,04NY,0,04NY,"-73.6961975098, 42.262298584"
292,04OG,heliport,Teufel Heliport,185,US,US-OR,Forest Grove,04OG,0,04OG,"-123.085556, 45.530833"
293,04OH,closed,Bossow Airport,1080,US,US-OH,Garrettsville,0,0,0,"-81.100701, 41.2477"
294,04OK,heliport,Stillwater Medical Center Heliport,984,US,US-OK,Stillwater,04OK,0,04OK,"-97.079498291, 36.1152992249"
295,04OR,small_airport,Collins Landing Strip,1500,US,US-OR,Mitchell,04OR,0,04OR,"-120.200996399, 44.7499008179"
296,04PA,heliport,S & C Distribution Center Heliport,50,US,US-PA,Philadelphia,04PA,0,04PA,"-75.2287979126, 39.87929916379999"
297,04PN,heliport,Strawbridge & Clothier Exton Heliport,320,US,US-PA,Exton,04PN,0,04PN,"-75.63021, 40.0306619"
298,04SC,heliport,Emergency Helipad,994,US,US-SC,Easley,04SC,0,04SC,"-82.60690307620001, 34.8405990601"
299,04SD,heliport,Cheyenne River Health Center Heliport,2437,US,US-SD,Eagle Butte,04SD,0,04SD,"-101.243011, 44.993124"
300,04TA,closed,Capitol National Bank Building Heliport,540,US,US-TX,Austin,04TA,0,04TA,"-97.745275, 30.270262"
301,04TE,heliport,Veterans Affairs Medical Center Heliport,49,US,US-TX,Houston,04TE,0,04TE,"-95.38739776610001, 29.700199127199998"
302,04TN,small_airport,Hensley Airpark,1430,US,US-TN,Chuckey,04TN,0,04TN,"-82.67890167239999, 36.183300018299995"
303,04TS,heliport,Hummingbird Heliport,690,US,US-TX,Hutto,04TS,0,04TS,"-97.60610198970001, 30.553499221800003"
304,04TX,small_airport,Pocock Airport,565,US,US-TX,China Spring,04TX,0,04TX,"-97.36889648440001, 31.7322006226"
305,04UT,small_airport,Navajo Mountain Airport,6160,US,US-UT,Navajo Mountain Trdng Post,04UT,0,04UT,"-110.794998169, 37.0083007812"
306,04V,small_airport,Saguache Municipal Airport,7826,US,US-CO,Saguache,04V,0,04V,"-106.1743889, 38.0990833"
307,04VA,heliport,Russell County Medical Center Heliport,2004,US,US-VA,Lebanon,04VA,0,04VA,"-82.078, 36.898"
308,04VG,small_airport,Manquin Flight Park Ultralightport,50,US,US-VA,Manquin,04VG,0,04VG,"-77.21179962160001, 37.7144012451"
309,04VT,small_airport,Lightning Bolt Field Airport,2156,US,US-VT,Cabot,04VT,0,04VT,"-72.26360321039999, 44.4011001587"
310,04W,small_airport,Field of Dreams Airport,1021,US,US-MN,Hinckley,04W,0,04W,"-92.895401001, 46.0228004456"
311,04WA,small_airport,Ox Meadows Airport,2345,US,US-WA,Spokane,04WA,0,04WA,"-117.43699646, 47.5817985535"
312,04WI,small_airport,Dutch Gap Airstrip,760,US,US-WI,Bristol,04WI,0,04WI,"-88.0167007446, 42.523399353"
313,04WN,small_airport,Stillwater Creek Airport,1510,US,US-WA,Royal City,04WN,0,04WN,"-119.641667, 46.963889"
314,04WV,heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,1137,US,US-WV,Morgantown,04WV,0,04WV,"-79.9561111111, 39.6536111111"
315,04XA,small_airport,Pecan Field,1130,US,US-TX,Jermyn,04XA,0,04XA,"-98.402861, 33.283933"
316,04XS,closed,Schmidts Heliport,625,US,US-TX,Mansfield,0,0,0,"-97.142502, 32.5821"
317,05AK,small_airport,Wasilla Creek Airpark,620,US,US-AK,Palmer,05AK,0,05AK,"-149.1880035, 61.66830063"
318,05AL,heliport,Allen Stagefield Army Heliport,365,US,US-AL,Fort Rucker/Wicksburg,05AL,0,05AL,"-85.64969635010002, 31.2311992645"
319,05AR,small_airport,Ozark Skies Airpark,1900,US,US-AR,Kingston,05AR,0,05AR,"-93.57025, 36.000633"
320,05AZ,heliport,Yuma Regional Medical Center Heliport,200,US,US-AZ,Yuma,05AZ,0,05AZ,"-114.634346, 32.683452"
321,05B,seaplane_base,Van Buren Seaplane Base,440,US,US-ME,Van Buren,0,0,05B,"-67.931999, 47.158901"
322,05CA,heliport,Lost Hills Sheriff's Station Heliport,888,US,US-CA,Calabasas,05CA,0,05CA,"-118.713996887, 34.137798309299995"
323,05CL,small_airport,Pope Valley Airport,618,US,US-CA,Pope Valley,05CL,0,05CL,"-122.39099884, 38.6106987"
324,05CO,small_airport,Rancho De Aereo Airport,4978,US,US-CO,Mead,05CO,0,05CO,"-104.9844228, 40.2149839"
325,05CT,heliport,O And G Heliport,600,US,US-CT,Torrington,05CT,0,05CT,"-73.1162033081, 41.7737007141"
326,05FA,small_airport,Melanie's Airport,295,US,US-FL,Florala,05FA,0,05FA,"-86.21829986572266, 30.918899536132812"
327,05FD,heliport,Aventura Heliport,6,US,US-FL,North Miami Beach,05FD,0,05FD,"-80.13919830322266, 25.960899353027344"
328,05FL,small_airport,Charlton Strip,36,US,US-FL,La Belle,05FL,0,05FL,"-81.4083023071289, 26.523099899291992"
329,05GA,small_airport,Raju Airport,625,US,US-GA,Richland,05GA,0,05GA,"-84.71440124511719, 32.0713996887207"
330,05IA,small_airport,Spotts Field,1155,US,US-IA,Nora Springs,05IA,0,05IA,"-93.06829833984375, 43.13750076293945"
331,05ID,small_airport,Running Creek Ranch Airport,2969,US,US-ID,Grangeville,05ID,0,05ID,"-114.835999, 45.914101"
332,05II,small_airport,Reichhart Airport,795,US,US-IN,New Haven,05II,0,05II,"-84.99720001220703, 41.02870178222656"
333,05IL,small_airport,Classic Landings Airport,635,US,US-IL,Bonfield,05IL,0,05IL,"-88.0167007446289, 41.156700134277344"
334,05IN,small_airport,Cooper Airport,860,US,US-IN,Belleville,05IN,0,05IN,"-86.50420379638672, 39.641998291015625"
