id,ident,type,name,elevation_ft,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
444,07D,small_airport,Tackaberry Airport,764,US,US-MI,Avoca,07D,0,07D,"-82.72380065917969, 43.06449890136719"
445,07FA,small_airport,Ocean Reef Club Airport,8,US,US-FL,Key Largo,07FA,OCA,07FA,"-80.274803161621, 25.325399398804"
446,07FD,closed,Flying G Ranch STOLport,90,US,US-FL,Lee,0,0,0,"-83.283796, 30.417999"
447,07FL,heliport,Southwest Florida Regional Medical Center Heliport,18,US,US-FL,Fort Myers,07FL,0,07FL,"-81.8594970703125, 26.60540008544922"
448,07GA,small_airport,Alcovy Airport,750,US,US-GA,Covington,07GA,0,07GA,"-83.76309967041016, 33.67499923706055"
449,07I,seaplane_base,Lake Monroe Seaplane Base,538,US,US-IN,Bloomington,07I,0,07I,"-86.44609832763672, 39.05870056152344"
450,07ID,small_airport,Interstate Airport,4580,US,US-ID,Malta,07ID,0,07ID,"-113.30500030517578, 42.2781982421875"
451,07II,heliport,St Vincent Jennings Hospital Heliport,740,US,US-IN,North Vernon,07II,0,07II,"-85.64080047607422, 39.01060104370117"
452,07IN,small_airport,Gray Airport,750,US,US-IN,Boggstown,07IN,0,07IN,"-85.91390228271484, 39.573699951171875"
453,07K,small_airport,Central City Municipal - Larry Reineke Field,1717,US,US-NE,Central City,07K,0,07K,"-98.0516967773, 41.1125984192"
454,07KS,small_airport,Heape Field,1321,US,US-KS,Augusta,07KS,0,07KS,"-96.93669891357422, 37.73419952392578"
455,07KY,small_airport,Blue Lick Airport,532,US,US-KY,Louisville,07KY,0,07KY,"-85.69329833984375, 38.08060073852539"
456,07LA,closed,Air Oil Inc Nr 1 Heliport,0,US,US-LA,Harahan,0,0,0,"-90.183701, 29.937099"
457,07LS,heliport,LA State Police Troop F Heliport,80,US,US-LA,Monroe,07LS,0,07LS,"-91.9889984131, 32.518100738499996"
458,07MA,heliport,West Pond Heliport,149,US,US-MA,Plymouth,07MA,0,07MA,"-70.70950317382812, 41.91699981689453"
459,07MD,small_airport,Baugher's Orchard Airport,700,US,US-MD,Westminster,07MD,0,07MD,"-77.0519027709961, 39.608299255371094"
460,07ME,heliport,Westbrook Heliport,250,US,US-ME,Westbrook,07ME,0,07ME,"-70.33920288085938, 43.73830032348633"
461,07MI,small_airport,Scott Airstrip,1065,US,US-MI,Lake,07MI,0,07MI,"-85.0239028930664, 43.864200592041016"
462,07MN,small_airport,Dairyview Airport,1680,US,US-MN,Hadley,07MN,0,07MN,"-95.90950012207031, 44.05500030517578"
463,07MO,small_airport,Lake Sexton Airport,880,US,US-MO,Warrensburg,07MO,0,07MO,"-93.61689758300781, 38.650001525878906"
464,07MT,small_airport,Glasgow Industrial Airport,2762,US,US-MT,Glasgow,07MT,0,07MT,"-106.52799987792969, 48.42110061645508"
465,07N,small_airport,Bermudian Valley Airpark,470,US,US-PA,Kralltown,07N,0,07N,"-77.00389862060547, 40.01679992675781"
466,07NC,small_airport,Hawks Meadow Airport,625,US,US-NC,Waxhaw,07NC,0,07NC,"-80.7511978149414, 34.83319854736328"
467,07NH,seaplane_base,Diving Rock Seaplane Base,1404,US,US-NH,Washington,07NH,0,07NH,"-72.06390380859375, 43.17559814453125"
468,07NJ,heliport,Hackensack UMC Palisades Heliport,10,US,US-NJ,North Bergen,07NJ,0,07NJ,"-73.994863, 40.793666"
469,07NV,small_airport,Border Line Farm Airport,5120,US,US-NV,Baker,07NV,0,07NV,"-114.053472, 39.102239"
470,07NY,heliport,Mmc Heliport,1320,US,US-NY,Monticello,07NY,0,07NY,"-74.76499938964844, 42.66640090942383"
471,07OH,closed,Tennessee Gas Heliport,1025,US,US-OH,Claysville,0,0,0,"-81.683503, 39.9373"
472,07OK,small_airport,Pleasant Valley Airport,1322,US,US-OK,Snyder,07OK,0,07OK,"-99.03369903564453, 34.633399963378906"
473,07OR,small_airport,Bruce's Airport,250,US,US-OR,Milwaukie,07OR,0,07OR,"-122.62000274658203, 45.42179870605469"
474,07PN,small_airport,Folmar Airport,1690,US,US-PA,Grassflat,07PN,0,07PN,"-78.125278, 40.998889"
475,07SN,small_airport,Churchill Airport,1965,US,US-KS,Phillipsburg,07SN,0,07SN,"-99.36009979248047, 39.77280044555664"
476,07TA,small_airport,Salaika Aviation Airport,30,US,US-TX,Danbury,07TA,0,07TA,"-95.344658, 29.240519"
477,07TE,small_airport,Cuddihy Field,39,US,US-TX,Corpus Christi,07TE,0,07TE,"-97.51280212402344, 27.721099853515625"
478,07TN,small_airport,Corntassel Airport,970,US,US-TN,Vonore,07TN,0,07TN,"-84.24109649658203, 35.568599700927734"
479,07TS,small_airport,Cross-Country Estates Airport,690,US,US-TX,Georgetown,07TS,0,07TS,"-97.57279968261719, 30.625"
480,07TX,heliport,Pecks Heliport,660,US,US-TX,Princeton,07TX,0,07TX,"-96.447998046875, 33.183998107910156"
481,07UT,small_airport,E Northrop Grumman Airport,4480,US,US-UT,Howell,07UT,0,07UT,"-112.447222, 41.716667"
482,07VA,small_airport,Alpha Hotel Airport,350,US,US-VA,Clover,07VA,0,07VA,"-78.78309631347656, 36.81959915161133"
483,07VT,small_airport,Meadow STOLport,801,US,US-VT,Jericho,07VT,0,07VT,"-72.91470336914062, 44.447200775146484"
484,07WA,heliport,Multicare Deaconess Hospital Heliport,2110,US,US-WA,Spokane,07WA,0,07WA,"-117.424477, 47.651637"
485,07WI,closed,Bartell Strip,990,US,US-WI,Genessee Depot,0,0,0,"-88.391502, 42.965302"
486,07XS,heliport,Allen Ponderosa Heliport,840,US,US-TX,Crowley,07XS,0,07XS,"-97.3917007446289, 32.542198181152344"
487,07Y,small_airport,Hill City-Quadna Mountain Airport,1289,US,US-MN,Hill City,07Y,0,07Y,"-93.5969009399414, 46.955501556396484"
488,08AK,small_airport,Fisher Airport,200,US,US-AK,Big Lake,08AK,0,08AK,"-149.724439, 61.569639"
489,08AL,seaplane_base,Little Lagoon Seaplane Base,8,US,US-AL,Gulf Shores,08AL,0,08AL,"-87.754678, 30.243717"
490,08AR,closed,Crittenden Regional Hospital Heliport,206,US,US-AR,West Memphis,0,0,0,"-90.190212, 35.142046"
491,08AZ,heliport,Mesa Police Heliport,1240,US,US-AZ,Mesa,08AZ,0,08AZ,"-111.838835, 33.417669"
492,08B,small_airport,Merrymeeting Field,65,US,US-ME,Bowdoinham,08B,0,08B,"-69.88710021972656, 44"
493,08CA,heliport,Pg & E Co. Placerville Svc Center Heliport,1810,US,US-CA,Diamond Springs,08CA,0,08CA,"-120.8270034790039, 38.69490051269531"
494,08CL,small_airport,Kistler Ranch Airport,1025,US,US-CA,Jamestown,08CL,0,08CL,"-120.55400085449219, 37.85960006713867"
495,08CN,heliport,Tulare Motor Sports #1 Heliport,270,US,US-CA,Tulare,08CN,0,08CN,"-119.306181, 36.172031"
496,08CO,small_airport,Terra Firma Airport,5600,US,US-CO,Rush,08CO,0,08CO,"-104.04100036621094, 38.73249816894531"
497,08CT,seaplane_base,Seavair's Landing Seaplane Base,881,US,US-CT,Winsted,08CT,0,08CT,"-73.09310150146484, 41.895999908447266"
498,08F,small_airport,City of Coalgate Airport,615,US,US-OK,Coalgate,08F,0,08F,"-96.23310089111328, 34.53179931640625"
499,08FA,small_airport,Duda Airstrip,35,US,US-FL,La Belle,08FA,0,08FA,"-81.48370361328125, 26.57979965209961"
500,08FD,small_airport,Sunniland Ranch Airport,65,US,US-FL,Okeechobee,08FD,0,08FD,"-80.77279663085938, 27.363100051879883"
501,08FL,small_airport,J. H. Hendrie Farms Airport,103,US,US-FL,Lake Placid,08FL,0,08FL,"-81.32869720458984, 27.08449935913086"
502,08G,heliport,Salt Fork Lodge Heliport,960,US,US-OH,Cambridge,08G,0,08G,"-81.52619934082031, 40.11090087890625"
503,08GA,small_airport,Sapelo Island Airport,12,US,US-GA,Darien,08GA,0,08GA,"-81.28589630126953, 31.425800323486328"
504,08ID,small_airport,Symms Airport,2680,US,US-ID,Marsing,08ID,0,08ID,"-116.7770004272461, 43.56930160522461"
505,08II,heliport,Parkview Lagrange Hospital Heliport,943,US,US-IN,Lagrange,08II,0,08II,"-85.426386, 41.645085"
506,08IL,closed,Harms Airstrip,643,US,US-IL,Tampico,0,0,0,"-89.793999, 41.577"
507,08IN,seaplane_base,Winona Lake Seaplane Base,812,US,US-IN,Winona Lake,02D,0,02D,"-85.830556, 41.223056"
508,08IS,small_airport,Hemmer RLA Restricted Landing Area,400,US,US-IL,Du Quoin,08IS,0,08IS,"-89.20290374759999, 37.977798461899994"
509,08KS,small_airport,Alderson Airport,1250,US,US-KS,Bennington,08KS,0,08KS,"-97.58000183105469, 39.034698486328125"
510,08KT,heliport,Methodist Health Heliport,435,US,US-KY,Morganfield,08KT,0,08KT,"-87.946994, 37.628414"
511,08KY,small_airport,Boss Airport,820,US,US-KY,Burnside,08KY,0,08KY,"-84.6260986328125, 36.972599029541016"
512,08LA,heliport,Air Oil Inc Nr 2 Heliport,4,US,US-LA,Harahan,08LA,0,08LA,"-90.18260192871094, 29.952999114990234"
513,08LL,small_airport,Sauer Airport,665,US,US-IL,Dwight,08LL,0,08LL,"-88.48919677734375, 41.07529830932617"
514,08LS,small_airport,Aeleron Airport,51,US,US-LA,Grand Coteau,08LS,0,08LS,"-92.02359771728516, 30.403600692749023"
515,08MA,small_airport,Wormid Airport,360,US,US-MA,Southborough,08MA,0,08MA,"-71.49620056152344, 42.29399871826172"
516,08MD,heliport,St Joseph Hospital Heliport,470,US,US-MD,Towson,08MD,0,08MD,"-76.61000061035156, 39.388301849365234"
517,08ME,small_airport,Lindbergh Airport,554,US,US-ME,Avon,08ME,0,08ME,"-70.34529876708984, 44.81420135498047"
518,08MI,heliport,Sparrow Hospital Heliport,1019,US,US-MI,Lansing,08MI,0,08MI,"-84.53659821, 42.73419952"
519,08MN,seaplane_base,Christenson Point Seaplane Base,1372,US,US-MN,Chisholm/Hibbing,08MN,0,08MN,"-93.05439758300781, 47.66939926147461"
520,08MO,small_airport,Twin Oaks Airport,955,US,US-MO,Jasper,08MO,0,08MO,"-94.28379821777344, 37.395599365234375"
521,08MS,small_airport,Williams Field,345,US,US-MS,Coldwater,08MS,0,08MS,"-89.86830139, 34.66220093"
522,08MT,small_airport,Matovich Airport,3450,US,US-MT,Grass Range,08MT,0,08MT,"-108.809624, 47.065679"
523,08N,small_airport,Keller Brothers Airport,550,US,US-PA,Lebanon,08N,0,08N,"-76.32879638671875, 40.29180145263672"
524,08NC,small_airport,Whiteheart Farm Airport,750,US,US-NC,Lewisville,08NC,0,08NC,"-80.4655990600586, 36.06760025024414"
525,08ND,small_airport,Brecht Strip,1990,US,US-ND,Golden Valley,08ND,0,08ND,"-102.0979995727539, 47.32310104370117"
526,08NE,small_airport,Laurel Municipal Airport,1467,US,US-NE,Laurel,08NE,0,08NE,"-97.07949829101562, 42.43170166015625"
527,08NH,heliport,Memorial Hospital Heliport,574,US,US-NH,North Conway,08NH,0,08NH,"-71.1358032227, 44.0612983704"
528,08NJ,heliport,St Barnabas Medical Center Heliport,429,US,US-NJ,Livingston,08NJ,0,08NJ,"-74.30400085449219, 40.76259994506836"
529,08NY,small_airport,Md1 Airport,650,US,US-NY,Middletown,08NY,0,08NY,"-74.50559997558594, 41.368099212646484"
530,08OH,small_airport,Kenley Airport,1230,US,US-OH,Hartford,08OH,0,08OH,"-80.5636978149414, 41.29169845581055"
531,08OK,small_airport,Parks Airport,635,US,US-OK,Wilburton,08OK,0,08OK,"-95.25830078125, 34.93149948120117"
532,08OL,small_airport,Broken B Airport,1518,US,US-OK,Hydro,08OL,0,08OL,"-98.605477, 35.408087"
533,08OR,small_airport,Saxon Sycan Airport,4990,US,US-OR,Silver Lake,08OR,0,08OR,"-121.11699676513672, 42.839298248291016"
534,08PA,heliport,Pocono Raceway Heliport,1812,US,US-PA,Pocono Pines,08PA,0,08PA,"-75.49960327148438, 41.05839920043945"
535,08PN,heliport,Thomson Heliport,310,US,US-PA,Lancaster,08PN,0,08PN,"-76.28079986572266, 40.0458984375"
536,08R,small_airport,Richmond Airport,130,US,US-RI,West Kingston,08R,0,08R,"-71.62059783935547, 41.489498138427734"
537,08TA,heliport,Rancho Del Lago Heliport,1208,US,US-TX,Fischer,08TA,0,08TA,"-98.22450256347656, 29.951900482177734"
538,08TE,small_airport,B. J. Mc Combs Sisterdale Airport,1447,US,US-TX,Comfort,0,0,0,"-98.742451, 29.975331"
539,08TN,small_airport,PTC Airport,820,US,US-TN,Fayetteville,08TN,0,08TN,"-86.474357, 35.298914"
540,08TS,closed,Puesta Del Sol Airport,420,US,US-TX,La Gloria,0,0,0,"-98.504885, 26.881331"
541,08TX,small_airport,Cross Wind Airport,1040,US,US-TX,Weatherford,08TX,0,08TX,"-97.74749755859375, 32.85820007324219"
542,08U,small_airport,Stevens-Crosby Airport,6397,US,US-NV,North Fork,08U,0,08U,"-115.86000061035156, 41.51570129394531"
543,08VA,small_airport,Springwood Airstrip,1000,US,US-VA,Buchanan,08VA,0,08VA,"-79.74980163574219, 37.55400085449219"
544,08WA,closed,Manchester Laboratory Heliport,2,US,US-WA,Manchester,0,0,0,"-122.547997, 47.574299"
545,08WI,closed,Pierick Airport,1225,US,US-WI,Highland,08WI,0,08WI,"-90.3551025390625, 43.04359817504883"
546,08XA,small_airport,Knolle Ranch Airport,280,US,US-TX,Snook,08XA,0,08XA,"-96.504031, 30.479253"
547,08XS,small_airport,Peterson Airport,45,US,US-TX,Old Ocean,08XS,0,08XS,"-95.77749633789062, 29.10810089111328"
548,09AA,heliport,Sheldon Chalet Heliport,5742,US,US-AK,Talkeetna,09AA,0,09AA,"-150.75375, 62.969888"
549,09AK,small_airport,West Beaver Airport,228,US,US-AK,Big Lake,09AK,0,09AK,"-149.847333, 61.589361"
550,09AR,heliport,Magnolia Hospital Heliport,310,US,US-AR,Magnolia,09AR,0,09AR,"-93.23989868164062, 33.27320098876953"
551,09AZ,small_airport,Stronghold Airport,4970,US,US-AZ,St David,09AZ,0,09AZ,"-110.040007, 31.924848"
552,09CA,heliport,Mee Memorial Hospital Heliport,320,US,US-CA,King City,09CA,0,09CA,"-121.132503, 36.20554"
553,09CL,small_airport,Alta Sierra Airport,2275,US,US-CA,Grass Valley,09CL,0,09CL,"-121.05699920654297, 39.113800048828125"
554,09CN,heliport,Tulare Motor Sports #2 Heliport,272,US,US-CA,Tulare,09CN,0,09CN,"-119.313572, 36.182556"
555,09CO,small_airport,Cottonwood Field,4180,US,US-CO,Swink,09CO,0,09CO,"-103.65299987792969, 38.055599212646484"
556,09FA,small_airport,Placid Lakes Airport,130,US,US-FL,Lake Placid,09FA,0,09FA,"-81.41310119628906, 27.2455997467041"
557,09FD,small_airport,Cheryl-Lane Landings Airport,71,US,US-FL,Bushnell,09FD,0,09FD,"-82.0873031616211, 28.671100616455078"
558,09FL,small_airport,Sunnybreeze Airport,60,US,US-FL,Arcadia,09FL,0,09FL,"-81.97059631347656, 27.055599212646484"
559,09GA,small_airport,Sunbelt Strip,230,US,US-GA,Moultrie,09GA,0,09GA,"-83.68409729003906, 31.111299514770508"
560,09I,seaplane_base,International Falls Seaplane Base,1110,US,US-MN,International Falls,09I,0,09I,"-93.37079620361328, 48.60580062866211"
561,09IA,small_airport,Skydive Iowa Airport,820,US,US-IA,Brooklyn,09IA,0,09IA,"-92.4093017578125, 41.74580001831055"
562,09ID,small_airport,Taylor Ranch Landing Area Airport,3835,US,US-ID,Moscow,09ID,0,09ID,"-114.8550033569336, 45.10390090942383"
563,09II,small_airport,Gibbons Field,880,US,US-IN,Valeene,09II,0,09II,"-86.44499969482422, 38.44729995727539"
564,09IL,closed,Silver Cross Hospital Heliport,610,US,US-IL,Joliet,0,0,0,"-88.052279, 41.536183"
565,09IN,small_airport,Gordon Airport,850,US,US-IN,Columbia City,09IN,0,09IN,"-85.42500305175781, 41.12089920043945"
566,09IS,heliport,Swedish American Heliport,874,US,US-IL,Rockford,09IS,0,09IS,"-89.07430267333984, 42.26499938964844"
567,09KS,small_airport,Coffman Airport,970,US,US-KS,Wellsville,09KS,0,09KS,"-95.13829803466797, 38.707000732421875"
568,09KY,heliport,Baptist Hospital East Heliport,531,US,US-KY,Louisville,09KY,0,09KY,"-85.63939666748047, 38.23899841308594"
569,09LA,heliport,Era Helicopters Fourchon Helibase Heliport,2,US,US-LA,Grand Isle,09LA,0,09LA,"-90.20169830322266, 29.123300552368164"
570,09LL,small_airport,Pine Hill Airport,1000,US,US-IL,Capron,09LL,0,09LL,"-88.74320220947266, 42.468101501464844"
571,09LS,heliport,West Feliciana Sheriff's Office Heliport,181,US,US-LA,St Francisville,09LS,0,09LS,"-91.38459777832031, 30.824399948120117"
572,09MA,small_airport,Kallander Field,403,US,US-MA,Southborough,09MA,0,09MA,"-71.50589752197266, 42.304298400878906"
573,09ME,small_airport,Perrotti Skyranch Airfield,260,US,US-ME,Berwick,09ME,0,09ME,"-70.85469818115234, 43.34080123901367"
574,09MI,heliport,Michigan National Guard Headquarters Heliport,842,US,US-MI,Lansing,09MI,0,09MI,"-84.56079864501953, 42.708099365234375"
575,09MN,small_airport,W Johnson Field,1060,US,US-MN,Hazel Run,09MN,0,09MN,"-95.6635971069336, 44.779998779296875"
576,09MO,small_airport,Hogue Farm Airport,1210,US,US-MO,Willard,09MO,0,09MO,"-93.36329650878906, 37.37839889526367"
577,09N,small_airport,Airhaven Airport,450,US,US-NY,Staatsburg,09N,0,09N,"-73.8759994506836, 41.83259963989258"
578,09NC,small_airport,William Irving Lewis Airport,310,US,US-NC,Broadway,09NC,0,09NC,"-79.02999877929688, 35.32929992675781"
579,09NE,small_airport,Summer Hill Farm Airport,1250,US,US-NE,Bennington,09NE,0,09NE,"-96.193603515625, 41.33330154418945"
580,09NJ,heliport,Stonebridge Farm Helistop,100,US,US-NJ,Somerville,09NJ,0,09NJ,"-74.6865005493164, 40.65370178222656"
581,09NR,small_airport,Dakota Air Ranch Airport,561,US,US-NC,Ramseur,09NR,0,09NR,"-79.650311, 35.650122"
582,09NY,heliport,Spring Lake Fire Department Heliport,254,US,US-NY,Kingston,09NY,0,09NY,"-74.04889678955078, 41.92890167236328"
583,09OK,small_airport,Ragtime Aerodrome,700,US,US-OK,Collinsville,09OK,0,09OK,"-95.86389923095703, 36.35449981689453"
584,09OR,heliport,Mid-Columbia Medical Center Heliport,487,US,US-OR,The Dalles,09OR,0,09OR,"-121.163827, 45.587235"
585,09PA,small_airport,Eagle Field,1780,US,US-PA,Port Matilda,09PA,0,09PA,"-77.98809814453125, 40.82699966430664"
586,09PN,heliport,Hundley Residence Heliport,480,US,US-PA,Kintersville,09PN,0,09PN,"-75.1427001953125, 40.5620002746582"
587,09S,small_airport,Sullivan Lake State Airport,2614,US,US-WA,Metaline Falls,09S,0,09S,"-117.28399658203125, 48.84090042114258"
588,09TA,small_airport,Lazy G Bar Ranch Airport,923,US,US-TX,Decatur,0,0,09T,"-97.497002, 33.282101"
589,09TE,small_airport,Running M Ranch Airport,787,US,US-TX,Glen Rose,09TE,0,09TE,"-97.86699676513672, 32.26679992675781"
590,09TN,heliport,Univ of Tennessee Medical Center Heliport,924,US,US-TN,Knoxville,09TN,0,09TN,"-83.94400024414062, 35.94169998168945"
591,09TS,small_airport,Pitcock Rosillos Mountain Ranch Airport,3100,US,US-TX,Marathon,09TS,0,09TS,"-103.16500091552734, 29.48240089416504"
592,09TX,small_airport,Smokey Mtn Ranch Airport,2522,US,US-TX,Sheffield,09TX,0,09TX,"-102.02400207519531, 30.739099502563477"
593,09VA,small_airport,Alum Ridge STOLport,2375,US,US-VA,Floyd,09VA,0,09VA,"-80.493896484375, 36.97650146484375"
594,09VG,heliport,Augusta Medical Center Heliport,1390,US,US-VA,Fishersville,09VG,0,09VG,"-78.98500061035156, 38.09080123901367"
595,09W,heliport,South Capitol Street Heliport,10,US,US-DC,Washington,09W,0,09W,"-77.00749969482422, 38.86869812011719"
596,09WA,heliport,Holy Family Hospital Heliport,2081,US,US-WA,Spokane,09WA,0,09WA,"-117.40699768066406, 47.71039962768555"
597,09WI,small_airport,Parkway Farm Strip,705,US,US-WI,Holmen,09WI,0,09WI,"-91.30760192871094, 44.00360107421875"
598,09XS,heliport,Baptist Medical Center Heliport,710,US,US-TX,San Antonio,09XS,0,09XS,"-98.49220275878906, 29.433000564575195"
599,09Y,seaplane_base,Wipline Seaplane Base,687,US,US-MN,Inver Grove Hgts,09Y,0,09Y,"-93.0155029296875, 44.81660079956055"
600,0AA6,heliport,Big Salmon Heliport,292,US,US-AK,Haines,0AA6,0,0AA6,"-136.013611, 59.403055"
601,0AA7,small_airport,Kalifonsky Meadows Airport,65,US,US-AK,Kenai,0AA7,0,0AA7,"-151.2352525, 60.491537"
602,0AK,small_airport,Pilot Station Airport,305,US,US-AK,Pilot Station,0,PQS,0AK,"-162.899994, 61.934601"
603,0AK0,small_airport,Scotts Airport,800,US,US-AK,North Pole,0AK0,0,0AK0,"-146.86199951171875, 64.39250183105469"
604,0AK1,small_airport,Anderson Lake Airport,463,US,US-AK,Wasilla,0AK1,0,0AK1,"-149.32200622558594, 61.61690139770508"
605,0AK2,small_airport,Yentna Bend Strip,81,US,US-AK,Willow,0AK2,0,0AK2,"-150.678611, 61.725556"
606,0AK3,small_airport,Parker Lake Airport,250,US,US-AK,Montana Creek,0AK3,0,0AK3,"-150.49400329589844, 62.0359001159668"
607,0AK5,small_airport,Young Creek Airport,1580,US,US-AK,May Creek,0AK5,0,0AK5,"-142.731832, 61.355352"
608,0AK6,small_airport,Victory Airport,1800,US,US-AK,Victory Bible Camp,0AK6,0,0AK6,"-147.94400024414062, 61.80339813232422"
609,0AK7,small_airport,Bradley Lake Hydroelectri Project Airstrip,18,US,US-AK,Homer,0AK7,0,0AK7,"-150.95899963378906, 59.776100158691406"
610,0AK8,closed,Pollux Heliport,515,US,US-AK,North Pole,0,0,0,"-147.497501, 64.895835"
611,0AK9,small_airport,Falcon Lake Strip,110,US,US-AK,Point Mackenzie,0AK9,0,0AK9,"-150.0590057373047, 61.33259963989258"
612,0AL0,heliport,Huntsville Field,619,US,US-AL,Huntsville,0AL0,0,0AL0,"-86.58889770507812, 34.68840026855469"
613,0AL1,small_airport,Resort Airport,97,US,US-AL,Foley,0AL1,0,0AL1,"-87.65689849853516, 30.443899154663086"
614,0AL2,heliport,Clay County Hospital Heliport,1040,US,US-AL,Ashland,0AL2,0,0AL2,"-85.83329772949219, 33.275001525878906"
615,0AL3,heliport,Hospital Pad Heliport,295,US,US-AL,Evergreen,0AL3,0,0AL3,"-86.94029998779297, 31.430599212646484"
616,0AL4,heliport,Dekalb Regional Medical Center Heliport,870,US,US-AL,Fort Payne,0AL4,0,0AL4,"-85.755793, 34.442141"
617,0AL5,small_airport,Flomaton Airport,247,US,US-AL,Flomaton,0AL5,0,0AL5,"-87.25279998779297, 31.03219985961914"
618,0AL6,heliport,D.W. Mcmillian Memorial Hospital Heliport,155,US,US-AL,Brewton,0AL6,0,0AL6,"-87.07330322265625, 31.127199172973633"
619,0AL7,heliport,Gadsden Regl Medical Center Heliport,621,US,US-AL,Gadsden,0AL7,0,0AL7,"-85.96530151367188, 34.00830078125"
620,0AL8,heliport,Brookwood Medical Center Heliport,763,US,US-AL,Birmingham,0AL8,0,0AL8,"-86.77310180664062, 33.46390151977539"
621,0AL9,small_airport,Wilson Creek Airport,590,US,US-AL,Florence,0AL9,0,0AL9,"-87.63249969482422, 34.849998474121094"
622,0AR0,heliport,Smh Heliport,1352,US,US-AR,Springdale,0AR0,0,0AR0,"-94.13710021972656, 36.18149948120117"
623,0AR1,closed,Hooterville South Airport,370,US,US-AR,Centerville,0,0,0,"-93.202003, 35.0947"
624,0AR2,small_airport,Mission Field-Marotti Memorial Airport,217,US,US-AR,Crawfordsville,0AR2,0,0AR2,"-90.35009765625, 35.26679992675781"
625,0AR3,closed,Taylor's Air Strip,2160,US,US-AR,Deer,0,0,0,"-93.261001, 35.898998"
626,0AR4,heliport,Ozarks Community Hospital Heliport,1251,US,US-AR,Gravette,0AR4,0,0AR4,"-94.46005, 36.40929"
627,0AR5,heliport,Rgnl Medical Center Heliport,382,US,US-AR,Jonesboro,0AR5,0,0AR5,"-90.70179748535156, 35.83620071411133"
628,0AR6,heliport,Ami National Park Medical Center Heliport,547,US,US-AR,Hot Springs,0AR6,0,0AR6,"-93.03099822998047, 34.48149871826172"
629,0AR7,closed,Yancopin Airport,150,US,US-AR,Watson,0,0,0,"-91.181198, 33.9501"
630,0AR8,heliport,Howard Memorial Hospital Heliport,549,US,US-AR,Nashville,0AR8,0,0AR8,"-93.85209655761719, 33.95009994506836"
631,0AR9,heliport,Eureka Springs Hospital Heliport,1540,US,US-AR,Eureka Springs,0AR9,0,0AR9,"-93.74349975585938, 36.40010070800781"
632,0AZ0,heliport,Arizona Heart Hospital Heliport,1161,US,US-AZ,Phoenix,0AZ0,0,0AZ0,"-112.03976, 33.481187"
633,0AZ1,closed,Taylor Field,2130,US,US-AZ,Marana,0AZ1,0,0AZ1,"-111.32412, 32.302114"
634,0AZ2,small_airport,Western Sky Airport,1930,US,US-AZ,Salome,0AZ2,0,0AZ2,"-113.640625, 33.778166"
635,0AZ4,small_airport,Flying Bucket Ranch Airport,1505,US,US-AZ,Mobile,0AZ4,0,0AZ4,"-112.28700256347656, 32.9822998046875"
636,0AZ5,small_airport,Castle Well Airport,2080,US,US-AZ,Morristown,0AZ5,0,0AZ5,"-112.603265, 33.865944"
637,0AZ6,heliport,St Joseph's Hospital Heliport,1213,US,US-AZ,Phoenix,0AZ6,0,0AZ6,"-112.079301, 33.482963"
638,0AZ7,heliport,Sunstate Heliport,1180,US,US-AZ,Phoenix,0AZ7,0,0AZ7,"-111.964567, 33.445318"
639,0B2,small_airport,Brewer Airport,124,US,US-ME,Brewer,0B2,0,0B2,"-68.7677993774414, 44.76369857788086"
640,0B7,small_airport,Warren-Sugarbush Airport,1470,US,US-VT,Warren,0B7,0,0B7,"-72.8271026611, 44.1166992188"
641,0C1,small_airport,Triple R Airport,1000,US,US-MO,Dearborn,0C1,0,0C1,"-94.78050231933594, 39.48780059814453"
642,0C2,small_airport,Hinckley Airport,760,US,US-IL,Hinckley,0C2,0,0C2,"-88.70339965820312, 41.77090072631836"
643,0C5,small_airport,Canadian Lakes Airport,960,US,US-MI,Mecosta,0C5,0,0C5,"-85.28060150146484, 43.57640075683594"
644,0C7,small_airport,Grandpas' Farm Mendota Airport,727,US,US-IL,Mendota,IL22,0,IL22,"-89.132599, 41.521999"
645,0C8,small_airport,Cushing Field Ltd Airport,640,US,US-IL,Newark,0C8,0,0C8,"-88.60559844970703, 41.519500732421875"
646,0C9,heliport,Coach & Paddock Heliport,320,US,US-NJ,Clinton,0C9,0,0C9,"-74.97570037841797, 40.63819885253906"
647,0CA0,closed,Drew Medical Center Heliport,180,US,US-CA,Los Angeles,0,0,0,"-118.241997, 33.923302"
648,0CA1,closed,Northside Airpark,190,US,US-CA,Santa Maria,0,0,0,"-120.458000183, 34.9883003235"
649,0CA2,heliport,VA Greater Los Angeles Health Care Center Heliport,294,US,US-CA,Los Angeles,0CA2,0,0CA2,"-118.456257, 34.049778"
650,0CA3,small_airport,Crawford Airport,570,US,US-CA,Santa Ynez,0CA3,0,0CA3,"-120.01300048828125, 34.587501525878906"
651,0CA4,small_airport,Shepherd Farm Airport,660,US,US-CA,Santa Ynez,0CA4,0,0CA4,"-120.065002, 34.6222"
652,0CA5,small_airport,Hoffman Private Airport,3100,US,US-CA,Santa Ysabel,0CA5,0,0CA5,"-116.74500274658203, 33.14310073852539"
653,0CA6,small_airport,Emory Ranch Airport,480,US,US-CA,Ocotillo,0CA6,0,0CA6,"-116.0161111, 32.7494444"
